,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Back to the Future,"$210,609,762",Universal,Sci-Fi Adventure,PG,"July 3, 1985",1 hrs. 51 min.,$19 million,Robert Zemeckis,"Kathleen Kennedy,Frank Marshall,Steven Spielberg",N/A
1,Rambo: First Blood Part II,"$150,415,432",TriStar,Action,R,"May 22, 1985",1 hrs. 34 min.,N/A,N/A,N/A,Sylvester Stallone
2,Rocky IV,"$127,873,716",United Artists,Sports Drama,PG,"November 27, 1985",1 hrs. 31 min.,N/A,Sylvester Stallone,Irwin Winkler,Sylvester Stallone
3,The Color Purple,"$94,175,854Domestic Lifetime Gross $98,467,863",Warner Bros.,Period Drama,PG-13,"December 20, 1985",2 hrs. 34 min.,N/A,Steven Spielberg,"Kathleen Kennedy,Frank Marshall,Jon Peters,Steven Spielberg","Danny Glover,Oprah Winfrey"
4,Out of Africa,"$87,071,205",Universal,Romance,PG,"December 20, 1985",2 hrs. 41 min.,N/A,Sydney Pollack,Sydney Pollack,"Robert Redford,Meryl Streep"
5,Cocoon,"$76,113,124",Fox,Sci-Fi Adventure,PG-13,"June 21, 1985",1 hrs. 57 min.,N/A,Ron Howard,N/A,N/A
6,The Jewel of the Nile,"$75,973,200",Fox,Adventure,PG,"December 13, 1985",1 hrs. 55 min.,N/A,N/A,Michael Douglas,"Michael Douglas,Danny DeVito"
7,Witness,"$68,706,993",Paramount,Drama / Thriller,R,"February 8, 1985",1 hrs. 52 min.,N/A,Peter Weir,N/A,"Harrison Ford,Lukas Haas"
8,The Goonies,"$61,389,680Domestic Lifetime Gross $61,503,218",Warner Bros.,Family Adventure,PG,"June 7, 1985",1 hrs. 30 min.,N/A,Richard Donner,"Kathleen Kennedy,Frank Marshall,Steven Spielberg",Josh Brolin
9,Spies Like Us,"$60,088,980",Warner Bros.,Action Comedy,PG,"December 6, 1985",1 hrs. 42 min.,N/A,John Landis,Brian Grazer,N/A
10,Police Academy 2: Their First Assignment,"$55,600,000",Warner Bros.,Comedy,PG-13,"March 29, 1985",1 hrs. 37 min.,N/A,N/A,N/A,N/A
11,Fletch,"$50,612,888",Universal,Comedy,PG,"May 31, 1985",1 hrs. 38 min.,N/A,N/A,N/A,N/A
12,A View to a Kill,"$50,327,960",MGM,Action,PG,"May 24, 1985",2 hrs. 11 min.,N/A,N/A,Michael G. Wilson,"Roger Moore,Christopher Walken"
13,European Vacation,"$49,364,621",Warner Bros.,Comedy,PG-13,"July 26, 1985",1 hrs. 34 min.,N/A,Amy Heckerling,N/A,N/A
14,Mask,"$48,230,162",Universal,Drama,PG-13,"March 8, 1985",2 hrs. 7 min.,N/A,N/A,N/A,"Cher,Sam Elliott"
15,The Breakfast Club,"$45,875,171",Universal,Comedy / Drama,R,"February 15, 1985",1 hrs. 40 min.,N/A,John Hughes,John Hughes,N/A
16,White Nights,"$42,160,849",Columbia,Drama,PG-13,"November 22, 1985",2 hrs. 16 min.,N/A,Taylor Hackford,N/A,Helen Mirren
17,Pale Rider,"$41,410,568",Warner Bros.,Western,R,"June 28, 1985",1 hrs. 53 min.,N/A,Clint Eastwood,Clint Eastwood,Clint Eastwood
18,Pee-Wee's Big Adventure,"$40,940,662",Warner Bros.,Family Comedy,PG,"August 9, 1985",1 hrs. 32 min.,N/A,Tim Burton,N/A,N/A
19,Brewster's Millions,"$40,833,132",Universal,Comedy,PG,"May 22, 1985",1 hrs. 42 min.,N/A,Walter Hill,"Lawrence Gordon,Joel Silver",N/A
20,E.T.: The Extra-Terrestrial (Re-issue),"$40,607,502Domestic Lifetime Gross $435,110,554",Universal,Sci-Fi Adventure,PG,"July 19, 1985",1 hrs. 57 min.,N/A,N/A,N/A,N/A
21,Jagged Edge,"$40,491,165",Columbia,Thriller,R,"October 4, 1985",1 hrs. 48 min.,N/A,N/A,N/A,"Jeff Bridges,Glenn Close"
22,St. Elmo's Fire,"$37,803,872",Columbia,Drama,R,"June 28, 1985",1 hrs. 50 min.,N/A,Joel Schumacher,Lauren Schuler Donner,"Rob Lowe,Demi Moore"
23,Mad Max Beyond Thunderdome,"$36,230,219",Warner Bros.,Sci-Fi Adventure,PG-13,"July 12, 1985",1 hrs. 47 min.,N/A,George Miller,George Miller,Mel Gibson
24,Commando,"$35,100,000",Fox,Action,R,"October 4, 1985",1 hrs. 30 min.,N/A,N/A,Joel Silver,Arnold Schwarzenegger
25,Teen Wolf,"$33,086,611",Atlantic,Horror Comedy,PG,"August 23, 1985",1 hrs. 31 min.,N/A,N/A,N/A,N/A
26,101 Dalmatians (Re-issue) (1985),"$33,049,729Domestic Lifetime Gross $144,880,014",Buena Vista,Animation,G,"December 20, 1985",1 hrs. 19 min.,N/A,N/A,N/A,N/A
27,Silverado,"$32,192,570",Columbia,Western,PG-13,"July 12, 1985",2 hrs. 13 min.,N/A,Lawrence Kasdan,"Michael Grillo,Lawrence Kasdan","Rosanna Arquette,Jeff Goldblum,Kevin Kline,Kevin Costner,Danny Glover"
28,Murphy's Romance,"$30,867,525",Columbia,Romantic Comedy,PG-13,"December 27, 1985",1 hrs. 47 min.,N/A,N/A,Laura Ziskin,"Sally Field,James Garner,Corey Haim"
29,A Nightmare on Elm Street 2: Freddy's Revenge,"$29,999,213",New Line,Horror,R,"November 1, 1985",1 hrs. 27 min.,N/A,N/A,N/A,N/A
30,Desperately Seeking Susan,"$27,398,584",Orion Pictures,Romantic Comedy,PG-13,"March 29, 1985",1 hrs. 44 min.,N/A,N/A,N/A,"Rosanna Arquette,Madonna"
31,Prizzi's Honor,"$26,657,534",Fox,Crime Comedy,R,"June 14, 1985",2 hrs. 10 min.,N/A,N/A,N/A,Jack Nicholson
32,The Last Dragon,"$25,754,284",TriStar,Action,PG-13,"March 22, 1985",1 hrs. 48 min.,N/A,N/A,N/A,N/A
