,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Star Wars: The Last Jedi,"$620,181,382",Buena Vista,Sci-Fi Fantasy,PG-13,"December 15, 2017",2 hrs. 31 min.,N/A,Rian Johnson,"Kathleen Kennedy,Ram Bergman","Mark Hamill,Carrie Fisher,Daisy Ridley,John Boyega,Oscar Isaac,Lupita Nyong'o,Andy Serkis,Anthony Daniels,Benicio Del Toro"
1,Beauty and the Beast (2017),"$504,014,165",Buena Vista,Fantasy,PG,"March 17, 2017",2 hrs. 9 min.,$160 million,Bill Condon,"David Hoberman,Jeffrey Silver","Emma Watson,Luke Evans,Emma Thompson,Kevin Kline,Dan Stevens,Ewan McGregor,Stanley Tucci,Ian McKellen,Josh Gad"
2,Wonder Woman,"$412,563,408",Warner Bros.,Action / Adventure,PG-13,"June 2, 2017",2 hrs. 21 min.,$149 million,Patty Jenkins,"Charles Roven,Deborah Snyder,Zack Snyder","Gal Gadot,Chris Pine,Robin Wright,Ewen Bremner"
3,Jumanji: Welcome to the Jungle,"$404,515,480",Sony / Columbia,Action,PG-13,"December 20, 2017",1 hrs. 59 min.,$90 million,Jake Kasdan,N/A,"Dwayne Johnson,Jack Black,Kevin Hart,Karen Gillan,Nick Jonas"
4,Guardians of the Galaxy Vol. 2,"$389,813,101",Buena Vista,Action / Adventure,PG-13,"May 5, 2017",2 hrs. 17 min.,$200 million,James Gunn,Kevin Feige,"Michael Rooker,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper,Karen Gillan,Elizabeth Debicki,Kurt Russell,Sylvester Stallone"
5,Spider-Man: Homecoming,"$334,201,140",Sony / Columbia,Action / Adventure,PG-13,"July 7, 2017",2 hrs. 13 min.,$175 million,N/A,Kevin Feige,"Tom Holland,Marisa Tomei,Robert Downey, Jr.,Michael Keaton,Jon Favreau"
6,It,"$327,481,748",Warner Bros. (New Line),Horror,R,"September 8, 2017",2 hrs. 15 min.,$35 million,Andres Muschietti,N/A,N/A
7,Thor: Ragnarok,"$315,058,289",Buena Vista,Action / Adventure,PG-13,"November 3, 2017",2 hrs. 10 min.,$180 million,Taika Waititi,Kevin Feige,"Chris Hemsworth,Mark Ruffalo,Cate Blanchett,Jeff Goldblum,Tessa Thompson,Karl Urban,Anthony Hopkins,Tom Hiddleston,Idris Elba,Benedict Cumberbatch"
8,Despicable Me 3,"$264,624,300",Universal,Animation,PG,"June 30, 2017",1 hrs. 30 min.,$80 million,Pierre Coffin,"Janet Healy,Christopher Meledandri","Steve Carell,Trey Parker,Kristen Wiig,Steve Coogan,Julie Andrews"
9,Justice League,"$229,024,295",Warner Bros.,Action / Adventure,PG-13,"November 17, 2017",1 hrs. 59 min.,N/A,Zack Snyder,N/A,"Ben Affleck,Henry Cavill,Gal Gadot,Jason Momoa,Ezra Miller,Amy Adams,Amber Heard,Jeremy Irons,Diane Lane,Billy Crudup"
10,Logan,"$226,277,068",Fox,Action / Adventure,R,"March 3, 2017",2 hrs. 15 min.,$97 million,James Mangold,"Lauren Schuler Donner,Simon Kinberg,Hutch Parker","Hugh Jackman,Patrick Stewart,Boyd Holbrook"
11,The Fate of the Furious,"$226,008,385",Universal,Action,PG-13,"April 14, 2017",2 hrs. 16 min.,$250 million,F. Gary Gray,"Vin Diesel,Neal H. Moritz","Vin Diesel,Dwayne Johnson,Tyrese Gibson,Charlize Theron,Michelle Rodriguez,Helen Mirren,Chris 'Ludacris' Bridges,Jason Statham,Kristofer Hivju,Kurt Russell"
12,Coco,"$209,726,015",Buena Vista,Animation,PG,"November 22, 2017",1 hrs. 49 min.,N/A,Lee Unkrich,Darla K. Anderson,"Gael Garcia Bernal,Benjamin Bratt"
13,Dunkirk,"$188,045,546Domestic Lifetime Gross $190,068,280",Warner Bros.,War,PG-13,"July 21, 2017",1 hrs. 46 min.,$100 million,Christopher Nolan,"Christopher Nolan,Emma Thomas","Mark Rylance,Kenneth Branagh,Tom Hardy,Cillian Murphy"
14,Get Out,"$176,040,665",Universal,Horror,R,"February 24, 2017",1 hrs. 43 min.,$4.5 million,Jordan Peele,"Jason Blum,Jordan Peele",Lakeith Stanfield
15,The LEGO Batman Movie,"$175,750,384",Warner Bros.,Animation,PG,"February 10, 2017",1 hrs. 44 min.,$80 million,N/A,N/A,"Michael Cera,Rosario Dawson,Ralph Fiennes,Zach Galifianakis"
16,The Boss Baby,"$175,003,033",Fox,Animation,PG,"March 31, 2017",1 hrs. 37 min.,N/A,Tom McGrath,N/A,"Alec Baldwin,Lisa Kudrow"
17,The Greatest Showman,,Fox,Musical,PG,"December 20, 2017",1 hrs. 45 min.,$84 million,N/A,N/A,"Hugh Jackman,Michelle Williams,Zac Efron,Rebecca Ferguson"
18,Pirates of the Caribbean: Dead Men Tell No Tales,"$172,558,876",Buena Vista,Period Adventure,PG-13,"May 26, 2017",2 hrs. 9 min.,$230 million,"Joachim Ronning,Espen Sandberg",Jerry Bruckheimer,"Johnny Depp,Javier Bardem,Brenton Thwaites,Geoffrey Rush,Orlando Bloom"
19,Kong: Skull Island,"$168,052,812",Warner Bros.,Action / Adventure,PG-13,"March 10, 2017",1 hrs. 58 min.,$185 million,Jordan Vogt-Roberts,"Jon Jashni,Thomas Tull","Tom Hiddleston,Brie Larson,Samuel L. Jackson,John Goodman,John C. Reilly,Thomas Mann"
20,Cars 3,"$152,901,115",Buena Vista,Animation,G,"June 16, 2017",1 hrs. 42 min.,N/A,N/A,N/A,"Owen Wilson,Chris Cooper,Larry the Cable Guy,Armie Hammer,Bonnie Hunt"
21,War for the Planet of the Apes,"$146,880,162",Fox,Sci-Fi Action,PG-13,"July 14, 2017",2 hrs. 20 min.,$150 million,Matt Reeves,N/A,"Andy Serkis,Woody Harrelson"
22,Split,"$138,291,365",Universal,Horror Thriller,PG-13,"January 20, 2017",1 hrs. 57 min.,$9 million,M. Night Shyamalan,"Jason Blum,M. Night Shyamalan",James McAvoy
23,Wonder,"$132,422,809",Lionsgate,Drama,PG,"November 17, 2017",1 hrs. 53 min.,N/A,Stephen Chbosky,N/A,"Julia Roberts,Owen Wilson"
24,Transformers: The Last Knight,"$130,168,683",Paramount,Sci-Fi Action,PG-13,"June 21, 2017",2 hrs. 29 min.,$217 million,Michael Bay,"Ian Bryce,Tom DeSanto,Lorenzo di Bonaventura,Don Murphy","Mark Wahlberg,Anthony Hopkins,Josh Duhamel,Stanley Tucci,Omar Sy,John Goodman"
25,Girls Trip,"$115,171,585",Universal,Comedy,R,"July 21, 2017",2 hrs. 2 min.,$19 million,Malcolm D. Lee,Will Packer,"Jada Pinkett-Smith,Queen Latifah,Regina Hall,Tiffany Haddish"
26,Fifty Shades Darker,"$114,581,250",Universal,Romance,R,"February 10, 2017",1 hrs. 55 min.,$55 million,James Foley,"Dana Brunetti,Michael De Luca,E.L. James",Kim Basinger
27,Baby Driver,"$107,825,862",TriStar,Action / Crime,R,"June 28, 2017",1 hrs. 52 min.,$34 million,Edgar Wright,"Tim Bevan,Eric Fellner","Ansel Elgort,Jon Hamm,Kevin Spacey,Jamie Foxx"
28,Pitch Perfect 3,"$104,897,530",Universal,Comedy,PG-13,"December 22, 2017",1 hrs. 36 min.,$45 million,N/A,N/A,"Anna Kendrick,Rebel Wilson"
29,Daddy's Home 2,"$104,029,443",Paramount,Comedy,PG-13,"November 10, 2017",1 hrs. 40 min.,$69 million,Sean Anders,N/A,"Mark Wahlberg,Will Ferrell,Mel Gibson,John Cena"
30,Murder on the Orient Express (2017),"$102,826,543",Fox,Thriller,PG-13,"November 10, 2017",1 hrs. 54 min.,$55 million,Kenneth Branagh,"Kenneth Branagh,Mark Gordon,Simon Kinberg,Ridley Scott","Kenneth Branagh,Johnny Depp,Michelle Pfeiffer,Daisy Ridley,Judi Dench,Penelope Cruz,Willem Dafoe,Josh Gad"
31,Annabelle: Creation,"$102,092,201",Warner Bros. (New Line),Horror,R,"August 11, 2017",1 hrs. 49 min.,$15 million,David F. Sandberg,"Peter Safran,James Wan",N/A
32,Kingsman: The Golden Circle,"$100,234,838",Fox,Action Comedy,R,"September 22, 2017",2 hrs. 21 min.,$104 million,Matthew Vaughn,Matthew Vaughn,"Taron Egerton,Sophie Cookson,Channing Tatum,Halle Berry,Colin Firth,Julianne Moore,Mark Strong,Jeff Bridges"
33,Blade Runner 2049,"$92,054,159",Warner Bros.,Sci-Fi,R,"October 6, 2017",2 hrs. 43 min.,$150 million,Denis Villeneuve,"Broderick Johnson,Andrew A. Kosove","Ryan Gosling,Harrison Ford,Robin Wright,Jared Leto,Dave Bautista"
34,John Wick: Chapter Two,"$92,029,184",Lionsgate/Summit,Action,R,"February 10, 2017",2 hrs. 2 min.,N/A,Chad Stahelski,N/A,"Common,Laurence Fishburne,John Leguizamo,Bridget Moynahan,Keanu Reeves"
35,The Emoji Movie,"$86,089,513",Sony / Columbia,Animation,PG,"July 28, 2017",1 hrs. 26 min.,$50 million,N/A,N/A,"Jennifer Coolidge,Patrick Stewart"
36,Power Rangers (2017),"$85,364,450",Lionsgate,Action / Adventure,PG-13,"March 24, 2017",2 hrs. 4 min.,$100 million,Dean Israelite,Roberto Orci,"Elizabeth Banks,Bryan Cranston"
37,Ferdinand,"$84,410,380",Fox,Animation,PG,"December 15, 2017",1 hrs. 47 min.,$111 million,Carlos Saldanha,N/A,"John Cena,Gina Rodriguez,Boris Kodjoe,Carlos Saldanha"
38,The Post,"$81,903,458",Fox,Drama,PG-13,"December 22, 2017",1 hrs. 55 min.,$50 million,Steven Spielberg,Steven Spielberg,"Tom Hanks,Meryl Streep,Sarah Paulson,Jesse Plemons,Tracy Letts"
39,The Mummy (2017),"$80,227,895",Universal,Action / Adventure,PG-13,"June 9, 2017",1 hrs. 47 min.,$125 million,Alex Kurtzman,"Alex Kurtzman,Roberto Orci","Tom Cruise,Sofia Boutella,Russell Crowe"
40,The Hitman's Bodyguard,"$75,468,583",Lionsgate/Summit,Action Comedy,R,"August 18, 2017",1 hrs. 58 min.,$30 million,Patrick Hughes,N/A,"Ryan Reynolds,Samuel L. Jackson,Salma Hayek,Gary Oldman"
41,Alien: Covenant,"$74,262,031",Fox,Sci-Fi Horror,R,"May 19, 2017",2 hrs. 2 min.,$97 million,Ridley Scott,N/A,"Michael Fassbender,Katherine Waterston,Danny McBride,Billy Crudup"
42,Captain Underpants: The First Epic Movie,"$73,921,000",Fox,Animation,PG,"June 2, 2017",1 hrs. 29 min.,$38 million,David Soren,N/A,"Kevin Hart,Ed Helms,Jordan Peele"
43,A Bad Moms Christmas,"$72,110,659",STX Entertainment,Comedy,R,"November 1, 2017",1 hrs. 44 min.,$28 million,"Jon Lucas,Scott Moore",N/A,"Mila Kunis,Kristen Bell,Susan Sarandon"
44,A Dog's Purpose,"$64,508,620",Universal,Comedy / Drama,PG,"January 27, 2017",2 hrs. 0 min.,$22 million,Lasse Hallstrom,Gavin Polone,Dennis Quaid
45,The Shape of Water,"$63,859,435",Fox Searchlight,Fantasy Drama,R,"December 1, 2017",1 hrs. 59 min.,N/A,Guillermo del Toro,"Guillermo del Toro,J. Miles Dale","Sally Hawkins,Michael Shannon,Octavia Spencer"
46,The LEGO Ninjago Movie,"$59,281,555",Warner Bros.,Animation,PG,"September 22, 2017",1 hrs. 41 min.,N/A,N/A,N/A,"Kumail Nanjiani,Jackie Chan,Dave Franco"
47,Baywatch,"$58,060,186",Paramount,Action Comedy,R,"May 25, 2017",1 hrs. 56 min.,$69 million,Seth Gordon,N/A,"Zac Efron,Dwayne Johnson"
48,The Shack,"$57,386,418",Lionsgate/Summit,Drama,PG-13,"March 3, 2017",2 hrs. 12 min.,N/A,N/A,N/A,"Radha Mitchell,Octavia Spencer,Sam Worthington"
49,Darkest Hour,"$56,468,410",Focus Features,Drama,PG-13,"November 22, 2017",2 hrs. 5 min.,N/A,Joe Wright,N/A,Gary Oldman
50,Happy Death Day,"$55,683,845",Universal,Horror,PG-13,"October 13, 2017",1 hrs. 36 min.,$4.8 million,Christopher B. Landon,N/A,N/A
51,"Three Billboards Outside Ebbing, Missouri","$54,513,740",Fox Searchlight,Crime Comedy,R,"November 10, 2017",1 hrs. 55 min.,N/A,N/A,N/A,"Woody Harrelson,Sam Rockwell,Abbie Cornish,Frances McDormand,Kathryn Newton"
52,Atomic Blonde,"$51,687,870",Focus Features,Thriller,R,"July 28, 2017",1 hrs. 55 min.,$30 million,David Leitch,N/A,"Charlize Theron,James McAvoy,John Goodman,Sofia Boutella"
