,Name,Domestic Total Gross,Distributor,MPAA Rating,Runtime,Production Budget,Release Month,Release Year,Actor Trendy Score,Director Trendy Score,Producer Trendy Score,Genre Trendy Score
0,The Empire Strikes Back,209.398025,Fox,PG,129,18.0,May,1980,0.0,0.0,0.0,0.0
1,The Shining,44.017374,Warner Bros.,R,146,19.0,May,1980,0.0,0.0,0.0,0.0
2,Dressed to Kill,31.899,Orion Pictures,R,105,6.5,June,1980,0.0,0.0,0.0,0.0
3,The Island (1980),15.716828,Universal,R,114,22.0,June,1980,0.0,0.0,0.0,0.0
4,Used Cars,11.715321000000001,Columbia,R,113,8.0,July,1980,0.0,0.0,0.0,0.0
5,Stardust Memories,10.389003,United Artists,PG,91,10.0,September,1980,0.0,0.0,0.0,0.0
6,Kagemusha,4.0,Fox,PG,162,6.0,October,1980,0.0,0.0,0.0,0.0
7,When Time Ran Out,3.763988,Warner Bros.,PG,121,20.0,March,1980,0.0,0.0,0.0,0.0
8,Heaven's Gate,3.4843309999999996,United Artists,R,219,44.0,November,1980,0.0,0.0,0.0,0.0
9,Raiders of the Lost Ark,212.222025,Paramount,PG,115,18.0,June,1981,209.398025,0.0,106.6990125,0.0
10,Superman II,108.18570600000001,Warner Bros.,PG,128,54.0,June,1981,0.0,0.0,0.0,0.0
11,Reds,40.382659000000004,Paramount,PG,194,32.0,December,1981,44.017374,0.0,0.0,0.0
12,E.T.: The Extra-Terrestrial,359.197037,Universal,PG,117,10.5,June,1982,0.0,212.222025,11.715321000000001,0.0
13,Tootsie,177.2,Columbia,PG,119,21.0,December,1982,0.0,0.0,0.0,0.0
14,Star Trek II: The Wrath of Khan,78.912963,Paramount,PG,112,11.2,June,1982,0.0,0.0,0.0,0.0
15,First Blood,47.212903999999995,Orion Pictures,R,96,15.0,October,1982,0.0,0.0,0.0,0.0
16,Tron,33.0,Buena Vista,PG,96,17.0,July,1982,3.4843309999999996,0.0,0.0,0.0
17,Quest for Fire,20.959585,Fox,R,100,12.5,February,1982,0.0,0.0,0.0,0.0
18,Inchon,5.200986,MGM,PG,140,46.0,September,1982,0.0,0.0,0.0,0.0
19,Lookin' to Get Out,0.9464610000000001,Paramount,R,105,17.0,October,1982,0.0,0.0,0.0,0.0
20,Return of the Jedi,252.583617,Fox,PG,134,32.5,May,1983,1048.4021249999998,0.0,141.87335,0.0
21,Terms of Endearment,108.42348899999999,Paramount,PG,131,8.0,November,1983,42.200016500000004,0.0,0.0,0.0
22,Risky Business,63.541777,Warner Bros.,R,99,6.2,August,1983,0.0,0.0,0.0,0.0
23,Spacehunter: Adventures in the Forbidden Zone,16.478265,Columbia,PG,90,14.4,May,1983,0.0,0.0,0.0,0.0
24,Running Brave,3.0,Buena Vista,PG,106,8.0,November,1983,0.0,0.0,0.0,0.0
25,Rumble Fish,2.49448,Universal,R,94,10.0,October,1983,0.0,0.0,0.0,0.0
26,Ghostbusters,229.24298900000002,Columbia,PG,107,30.0,June,1984,177.2,0.0,16.478265,0.0
27,Indiana Jones and the Temple of Doom,179.870271,Paramount,PG,118,28.0,May,1984,224.73455566666667,285.709531,740.96997875,0.0
28,Footloose,80.035402,Paramount,PG,107,8.2,February,1984,0.0,0.0,0.0,0.0
29,The Terminator,38.3712,Orion Pictures,R,107,6.4,October,1984,0.0,0.0,0.0,0.0
30,Dune,30.925690000000003,Universal,PG-13,137,40.0,December,1984,0.0,0.0,0.0,0.0
31,The Cotton Club,25.928721,Orion Pictures,R,127,58.0,December,1984,2.49448,0.0,0.0,0.0
32,Sahara (1984),1.402962,MGM,PG,111,25.0,March,1984,0.0,0.0,0.0,0.0
33,Back to the Future,210.60976200000002,Universal,PG,111,19.0,July,1985,0.0,11.715321000000001,651.035981,0.0
34,Santa Claus: The Movie,23.717291,TriStar,PG,108,50.0,November,1985,0.0,0.0,0.0,0.0
35,Ran,3.607393,Orion Classics,R,160,11.5,September,1985,0.0,0.0,0.0,0.0
36,Revolution,0.358574,Warner Bros.,PG,125,28.0,December,1985,0.0,0.0,0.0,0.0
37,Platoon,138.530565,Orion Pictures,R,120,6.0,December,1986,0.0,0.0,0.0,0.0
38,Down and Out in Beverly Hills,62.134225,Buena Vista,R,103,14.0,January,1986,0.0,0.0,0.0,0.0
39,The Great Mouse Detective,25.336794,Buena Vista,G,74,14.0,July,1986,0.0,0.0,0.0,0.0
